Kinase,Compounds,Binding value,Docking value
CLK1,86268.0,19.26758937783343,-8.011
CLK1,6442842.0,19.32304416639633,-10.624
CLK1,73388382.0,19.36430908286562,-8.802
CLK1,77123.0,19.54078301820504,-8.533
CLK1,155467987.0,19.96313972494653,-9.653
CLK2,10139.0,13.78608291100997,-8.502
CLK2,16559.0,14.04529094787537,-9.16
CLK2,13728.0,14.34627358716955,-8.524
CLK2,7095.0,14.3715185022696,-8.025
CLK2,83975.0,14.57780243005898,-8.182
CLK2,91692.0,16.83034699875103,-8.353
CLK2,92326.0,17.65449964569725,-8.114
CLK2,71615984.0,17.76403839340527,-8.675
CLK2,11990852.0,18.59234540589707,-8.671
CLK2,34313.0,18.60666177472032,-8.108
CLK2,114994.0,19.11731882225472,-8.044
CLK2,39425.0,19.47729457683081,-8.14
CLK2,11158213.0,19.82945584770717,-9.186
CLK2,11629002.0,19.93129883064876,-8.275
CLK4,9435.0,8.328888489355057,-8.459
CLK4,16559.0,8.518884411657059,-8.802
CLK4,83975.0,8.865140197605083,-8.272
CLK4,2345.0,9.17474160709651,-8.546
CLK4,13728.0,9.426841386176266,-8.689
CLK4,11634286.0,9.619366807289095,-8.605
CLK4,34313.0,10.0404123889034,-8.066
CLK4,7095.0,10.2960499461974,-8.101
CLK4,39425.0,10.68114021295564,-8.283
CLK4,11500973.0,10.70858817144693,-8.592
CLK4,121363882.0,10.94326182633012,-8.083
CLK4,11158213.0,10.98408112482779,-8.281
CLK4,15546.0,11.26056606327615,-8.011
CLK4,92326.0,11.55607888318277,-8.299
CLK4,71615984.0,11.65432690822359,-9.127
CLK4,11990852.0,12.88920386025842,-8.554
CLK4,91759.0,12.96126575242525,-8.159
CLK4,135346206.0,13.00606306728391,-9.313
CLK4,92433.0,13.10385809930852,-8.382
CLK4,23466.0,13.16771207488515,-8.474
CLK4,91776.0,13.5251294536638,-8.132
CLK4,86426.0,13.82393277082388,-8.021
CLK4,6636.0,13.93504335364003,-8.089
CLK4,3081363.0,14.04326220492603,-8.516
CLK4,16116.0,14.07281288029375,-8.052
CLK4,5053.0,14.24462954324696,-8.228
CLK4,162381.0,14.2990074526765,-8.845
CLK4,12708735.0,14.29900745267653,-9.033
CLK4,176133503.0,14.46380607518061,-8.274
CLK4,6125184.0,14.9778389035147,-8.325
CLK4,114994.0,15.10821375633719,-8.69
CLK4,20056436.0,15.16083735053566,-8.344
CLK4,6455515.0,15.61905193538703,-8.229
CLK4,146491372.0,15.66371419980164,-8.804
CLK4,59105852.0,15.88354698380782,-8.127
CLK4,25015075.0,15.98192899235535,-8.228
CLK4,11563984.0,16.5648950414629,-8.791
CLK4,40521.0,16.58429037248134,-8.244
CLK4,73282.0,16.71450403758064,-8.055
CLK4,93228.0,16.88831279664542,-8.208
CLK4,115171.0,17.09137753133749,-8.513
CLK4,11571555.0,17.18309608144617,-8.166
CLK4,146479070.0,17.27916395584722,-8.717
CLK4,4767.0,17.45272414394848,-9.319
CLK4,24743.0,17.48380621482126,-8.421
CLK4,11534837.0,17.54578424261266,-8.513
CLK4,91745.0,17.58481027630737,-11.032
CLK4,12761569.0,18.09226906077918,-8.314
CLK4,6451141.0,18.15852247593411,-8.827
CLK4,6440554.0,18.17454975060256,-9.785
CLK4,165392216.0,18.59511069474636,-8.39
CLK4,56945145.0,18.66789291483532,-10.934
CLK4,39238.0,18.70451233526561,-8.335
CLK4,94382.0,18.7749359940969,-8.453
CLK4,41632.0,19.09063357974435,-8.04
CLK4,107851.0,19.25447065692369,-8.292
CLK4,197225.0,19.28955997621174,-8.143
CLK4,23690427.0,19.37236068400904,-10.69
CLK4,11693711.0,19.51743498627422,-8.72
CLK4,84098.0,19.61458386279246,-8.57
CLK4,57418258.0,19.65376459500948,-8.336
CLK4,9013425.0,19.75668311861925,-8.147
CLK4,6732.0,19.79574214318227,-8.043
CLK4,54739.0,19.81395768399405,-8.642
CLK4,91612.0,19.96246072315013,-8.015
CSF1R,148717219.0,8.316501578303521,-8.324
CSF1R,91745.0,9.57740139852239,-8.85
CSF1R,3294375.0,9.76706122524919,-8.053
CSF1R,91751.0,12.83519929228325,-8.54
CSF1R,91600.0,13.01092000358792,-8.578
CSF1R,86268.0,13.04684361219541,-8.291
CSF1R,54698175.0,13.41807155133402,-8.225
CSF1R,107651.0,13.77705191850341,-8.808
CSF1R,19402.0,14.33181441814975,-9.039
CSF1R,190636.0,14.5280293507033,-8.79
CSF1R,44146693.0,14.64422865284228,-8.255
CSF1R,67119441.0,15.42989007924002,-8.09
CSF1R,9930667.0,15.55636462854428,-8.077
CSF1R,71679243.0,15.82422103234114,-8.238
CSF1R,91755.0,16.32862888605775,-8.279
CSF1R,6719.0,16.59736044680542,-8.661
CSF1R,124107648.0,16.61861421723733,-8.161
CSF1R,23707509.0,16.80190527790927,-8.915
CSF1R,93482.0,16.8767045810626,-8.003
CSF1R,13577008.0,17.40933232455114,-8.152
CSF1R,43079.0,17.6504245934948,-8.304
CSF1R,89881183.0,17.71104406459473,-8.091
CSF1R,54676038.0,17.82034876838488,-8.605
CSF1R,42619.0,17.8488102575856,-8.8
CSF1R,157025.0,17.87686556415017,-8.014
CSF1R,91771.0,18.75060445419357,-8.848
CSF1R,54682651.0,18.77443273012902,-8.627
CSF1R,11271640.0,19.78435608064225,-9.172
CSNK1A1,86138.0,15.91549661632147,-8.046
CSNK1A1,39238.0,16.94692971280152,-8.038
CSNK1A1,83975.0,16.95508777667458,-8.075
CSNK1A1,43079.0,18.50011063643959,-9.255
CSNK1D,43079.0,14.38788664183781,-9.638
CSNK1D,83975.0,15.57572009706811,-8.783
CSNK1D,12761569.0,16.40982729644055,-8.116
CSNK1D,25015075.0,16.54498759274459,-8.476
CSNK1D,6295.0,16.85777171094912,-8.03
CSNK1D,24743.0,17.35994288938652,-8.288
CSNK1D,6442842.0,17.87528712516723,-9.189
CSNK1D,4767.0,18.90107576092774,-8.746
CSNK1D,12708735.0,18.76284812920608,-8.451
CSNK1D,91773.0,18.80248470846748,-8.618
CSNK1E,6295.0,19.62156888123813,-8.176
CSNK1G2,91755.0,17.16116736516698,-8.728
CSNK1G2,6442842.0,19.82343276632327,-8.133
CSNK2A1,83975.0,16.26383563657014,-8.32
CSNK2A1,11496886.0,19.69934722826529,-8.279
CSNK2A2,94382.0,15.97567183008778,-8.611
CSNK2A2,23466.0,19.11509813118394,-8.015
CSNK2A2,73670.0,19.47849933785116,-8.118
DAPK1,11634286.0,19.70135873102722,-8.65
DAPK1,23674999.0,19.90090169536953,-8.046
DCLK1,91745.0,17.23480607190658,-9.31
DCLK1,11709249.0,19.26353700306309,-8.312
DDR1,47445.0,5.383277346802114,-8.63
DDR1,148717219.0,9.61676102970805,-8.328
DDR1,67788.0,10.75976110908262,-8.584
DDR1,3294375.0,10.87798790093161,-9.664
DDR1,85470938.0,11.80359082341832,-9.284
DDR1,71777.0,12.40786842719754,-8.852
DDR1,57414497.0,12.50197085224465,-8.587
DDR1,5851439.0,12.57024514426091,-9.322
DDR1,24781705.0,12.86954002976522,-9.297
DDR1,91741.0,13.31171048167527,-8.554
DDR1,86309.0,13.33944495089329,-10.733
DDR1,42619.0,13.74439885743199,-8.612
DDR1,91745.0,13.85040922768008,-10.211
DDR1,153985.0,13.87283759339418,-9.377
DDR1,107651.0,14.03609666747545,-9.73
DDR1,86422.0,14.06990127550014,-8.233
DDR1,91734.0,14.28618422938157,-9.822
DDR1,73670.0,14.36775934120005,-9.16
